State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,2016,2017,2018,2019,2020,percentage-change-16-18,percentage-change-18-20,percentage-change-16-20
Katsina,400.56,401.4,402.24,403.09,403.94,404.78,405.63,406.49,439.09,481.37,482.38,483.39,483.39,485.55,488.65,490.75,500.16,495.46,500.0,499.33, 	495.00 ,492.55,501.0,500.0,550.0,500.0,455.9,470.24,460.45,465.0,460.0,475.0,470.0,400.0,420.0,420.0,401.25,420.0,420.0,400.0,400.0,415.0,420.0,415.0,400.0,410.0,420.0,426.0,430.0,410.0,430.0,426.1966666666667,493.75100000000003,462.21583333333336,412.2708333333333,423.3333333333333,7.792715884895039,-9.184842519685052,-0.6763779527559214
Kebbi,250.0,250.53,300.0,300.63,270.89,250.0,300.87,310.0,285.6,232.37,235.0,300.0,250.0,220.0,230.66,231.0,235.14,233.07,234.0,240.14,250.00,245.0,236.73,250.0,270.0,270.0,265.0,260.99,263.2,265.0,260.0,260.0,250.0,200.0,200.0,200.0,202.38,200.0,220.0,225.0,220.0,222.0,220.0,225.0,221.0,224.0,227.0,228.0,220.0,230.0,230.0,273.82416666666666,236.56,247.01583333333335,219.53166666666667,226.66666666666666,-10.852880550841872,-8.977573529411774,-20.804779411764706
Kogi,200.34,200.0,200.0,200.42,300.0,300.63,301.26,301.89,302.53,299.18,299.81,350.43,300.0,350.0,350.0,380.0,350.0,365.0,365.0,350.0, 	350.00 ,350.0,350.0,350.0,400.0,350.0,250.0,260.33,350.0,360.0,350.0,400.0,400.0,400.0,400.0,600.0,450.0,550.0,520.0,500.0,550.0,550.0,525.0,520.0,530.0,530.0,533.0,540.0,540.0,540.0,550.0,271.3741666666666,351.0,376.69416666666666,524.8333333333334,543.3333333333334,27.959020690967268,30.669785276073625,50.05383435582823
Kwara,350.0,350.74,351.47,352.21,352.95,353.69,354.43,355.18,355.92,361.19,361.95,502.71,500.0,500.0,501.55,503.0,510.43,512.55,510.0,500.77, 	500.00 ,500.0,500.0,500.0,550.0,550.0,520.0,530.75,520.45,520.0,500.0,500.0,510.0,500.0,505.0,600.0,555.12,600.0,600.0,590.0,564.55,580.0,580.0,590.0,600.0,600.0,625.0,634.0,635.0,640.0,640.0,366.86999999999995,503.753,525.5166666666667,593.2225,638.3333333333334,30.18870318099649,17.67362924281985,42.52689295039166
Lagos,350.0,350.0,425.0,416.67,462.5,475.0,425.0,425.0,425.89,432.67,450.0,550.0,500.0,500.0,500.0,500.0,537.5,518.75,523.33,520.0,523.33,522.44,535.0,513.29,566.67,500.0,433.33,450.23,487.56,490.0,500.0,525.0,520.0,500.0,500.0,500.0,433.33,456.51,462.5,460.0,460.0,464.22,470.0,480.0,480.0,487.0,485.0,500.0,450.0,450.0,500.0,432.3108333333333,515.0310000000001,497.7325,469.87999999999994,466.6666666666667,13.143941106250193,-6.656964285714285,7.361964285714301
Nassarawa,421.56,422.45,423.33,424.22,425.11,426.01,426.9,427.8,428.69,482.38,483.39,494.41,450.0,350.0,385.78,390.0,400.55,401.79,399.34,380.0, 	381.05 ,380.0,380.0,380.0,400.0,400.0,395.58,400.13,395.14,400.0,400.0,400.0,410.0,400.0,405.0,405.0,389.25,399.75,397.95,395.0,395.47,398.0,395.0,397.0,395.0,397.0,394.0,400.0,400.0,403.0,400.0,440.5208333333333,391.746,400.9041666666667,396.11833333333334,401.0,-9.881829614309309,0.02389858686616035,-9.855569409808806
Niger,270.54,271.11,271.68,272.25,272.82,273.39,273.97,274.54,275.12,275.07,275.65,296.22,250.55,248.65,300.0,300.0,298.22,299.11,301.0,310.0,330.15,320.0,304.64,300.0,320.0,320.0,303.25,305.23,300.5,300.0,300.0,300.0,298.0,200.0,200.0,200.0,185.25,200.0,194.96,195.0,185.56,190.0,190.0,200.0,210.0,205.0,208.0,210.0,220.0,215.0,220.0,275.1966666666667,292.217,278.915,197.81416666666667,218.33333333333334,1.333142116176364,-27.74732824427481,-26.044274809160324
Ogun,400.0,425.0,400.0,450.0,450.0,450.0,450.0,466.67,467.65,494.32,495.85,500.0,498.88,475.0,550.0,600.0,750.0,750.0,750.0,755.0,750.0,750.57,800.0,800.0,900.0,750.0,725.0,800.32,800.25,800.0,800.0,800.0,800.0,860.0,850.0,800.0,800.85,800.0,800.0,800.0,800.21,810.0,815.0,805.0,807.0,809.0,820.0,820.0,800.0,814.0,800.0,454.1241666666667,672.445,807.1308333333333,807.255,804.6666666666666,43.73599075738443,-0.30623446561722983,43.56369096934547
Ondo,350.0,350.0,400.0,550.0,475.0,450.0,450.0,500.0,501.05,532.38,532.38,632.38,570.0,600.0,600.0,600.0,600.0,650.0,650.0,670.0,666.67,650.0,700.0,650.0,750.0,800.0,737.5,750.22,720.6,720.0,720.0,725.0,730.0,700.0,715.0,550.0,515.2,560.0,550.0,550.0,650.0,600.0,600.0,620.0,640.0,644.0,650.0,700.0,700.0,715.0,685.0,476.93250000000006,627.0,718.1933333333333,606.6,700.0,33.5927419729135,-2.59904761904761,31.866785714285705
Osun,380.23,381.03,381.83,382.63,383.43,384.24,385.05,385.85,386.67,481.37,482.38,553.39,483.39,483.4,460.23,470.0,480.21,475.11,475.0,490.89,485.25,480.0,484.66,484.49,490.0,470.0,450.8,480.34,472.78,470.0,470.0,470.0,465.0,450.0,460.0,460.0,458.39,450.0,456.11,457.0,450.36,455.0,457.0,460.0,450.0,455.0,458.0,486.0,482.0,485.0,485.0,414.0083333333334,477.649,467.41,457.7383333333334,484.0,11.425015867582346,3.427685950413218,14.461088154269962
Oyo,400.11,400.95,401.79,402.64,403.48,404.33,405.18,406.03,406.88,481.37,481.37,501.37,455.85,455.89,453.76,456.8,450.11,455.75,455.0,445.0,436.54,435.5,449.95,400.0,450.0,450.0,425.25,450.45,430.55,440.0,440.0,450.0,450.0,450.0,455.0,455.0,430.25,448.38,439.22,445.0,445.66,450.0,450.0,455.0,458.0,459.0,460.0,473.0,476.0,480.0,480.0,424.625,446.861,445.5208333333333,451.12583333333333,478.6666666666667,4.690203413607665,6.924616991643462,11.290041782729809
Plateau,200.0,200.0,200.0,200.42,200.84,201.26,201.69,202.11,202.53,223.43,234.01,254.58,245.68,248.55,300.11,300.12,308.34,304.23,305.0,304.75,310.0,308.0,312.47,300.0,320.0,320.0,300.0,310.32,300.6,300.0,300.0,307.01,310.0,300.0,320.0,320.0,309.12,312.28,320.0,315.0,310.07,315.0,320.0,325.0,330.0,330.0,350.0,369.0,370.0,370.0,370.0,210.0725,293.25,308.9941666666667,325.4558333333334,370.0,32.01408872335778,16.48806306306306,43.22364864864865
Rivers,1333.33,1350.0,1700.0,1700.0,1750.0,1650.0,1766.67,1725.0,1727.36,1727.36,1727.36,2025.0,1533.33,1333.33,1440.0,1600.0,1675.0,1733.33,1750.0,1850.0,1800.0,1750.0,1750.0,2050.0,2100.0,2050.0,2000.0,2050.12,2000.5,2000.0,2000.0,2110.0,2100.0,1666.67,1700.0,1760.0,1733.33,1813.33,1750.0,1756.0,1750.0,1750.0,1770.0,1790.0,1785.0,1790.0,1796.0,1799.0,1800.0,1800.0,1766.67,1681.8400000000001,1661.4989999999998,1961.4408333333333,1773.555,1788.89,14.254869613281725,-9.645692766650448,5.984157773815045
Sokoto,430.45,431.35,432.26,433.17,434.08,434.99,435.9,436.82,439.09,481.37,482.38,499.89,470.76,470.96,473.89,474.5,480.44,480.75,480.0,480.0, 	486.25 ,482.55,450.0,450.0,450.53,450.53,400.25,420.32,410.59,410.0,400.0,400.0,410.0,400.0,400.0,400.0,387.29,400.0,400.0,405.0,390.02,400.0,400.0,410.0,408.0,420.0,430.0,437.0,430.0,415.0,430.0,447.6458333333334,471.38500000000005,412.68499999999995,407.2758333333333,425.0,-8.471554171664462,2.897647058823542,-5.3284313725490415
Taraba,300.43,301.06,325.0,325.68,326.37,327.05,327.74,328.43,343.12,383.37,382.58,453.99,433.39,440.35,400.23,420.56,420.0,425.88,450.0,460.75, 	455.00 ,450.86,420.0,420.0,430.0,430.0,410.0,420.13,415.4,430.0,450.0,450.0,430.0,400.0,400.0,400.0,389.99,300.0,325.0,320.0,350.0,340.0,345.0,342.0,340.0,340.0,343.0,346.0,345.0,348.0,320.0,343.73499999999996,428.12700000000007,422.12750000000005,340.0825,337.6666666666667,18.570810951667468,-25.013079960513334,-1.7971372161895174
Yobe,250.12,255.75,269.85,280.76,257.03,308.22,310.47,320.54,325.22,331.37,345.55,380.45,340.55,340.5,350.43,355.0,340.22,350.0,347.66,350.0,341.2,340.0,345.51,320.0,350.0,350.0,300.0,320.22,310.54,300.0,300.0,328.86,330.0,300.0,320.0,320.0,309.18,300.0,309.62,305.0,300.92,320.0,300.0,300.0,320.0,350.0,360.0,360.0,355.0,328.0,350.49,302.94416666666666,342.98699999999997,319.135,319.56,344.49666666666667,5.073349314031157,7.36194834976633,12.061800307695288
Zamfara,240.0,240.0,240.5,241.01,241.52,242.02,283.97,283.97,283.97,308.22,308.87,359.51,310.55,315.45,320.33,325.0,324.89,339.0,338.11,340.0,335.98,330.55,362.5,330.0,350.0,350.0,357.14,370.65,365.55,370.0,370.0,385.58,380.0,300.0,300.0,300.0,285.91,300.0,300.0,295.0,300.0,300.0,320.0,315.0,312.0,320.0,322.0,355.0,350.0,352.0,350.0,272.7966666666667,329.63800000000003,349.91,310.40916666666664,350.6666666666667,22.038047878978407,0.21577946768060663,22.206273764258555
