State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,2016,2017,2018,2019,2020,percentage-change-16-18,percentage-change-18-20,percentage-change-16-20
Abia,132.78,103.89,105.0,124.33,128.94,102.92,107.5,108.13,116.43,141.19,129.44,152.78,155.38,151.25,125.0,152.86,159.09,159.58,159.34, 	152.00 , 	157.78 ,124.62,125.0,142.94,151.82,150.17,145.25,140.0,145.14,146.0,140.0,145.0,150.0,125.38,145.0,141.88,136.5,134.55,140.0,135.0,133.33,135.0,135.0,138.0,136.0,136.0,137.0,138.0,140.0,142.0,138.18,121.11083333333335,145.50600000000003,143.80333333333337,136.19833333333335,140.06,15.780232261653659,-2.6726640963396884,13.529320767290201
Abuja,55.0,55.0,55.0,60.0,57.5,62.5,62.5,57.5,72.5,80.63,85.0,87.5,82.5,82.67,86.67,85.0,82.5,85.0,85.0,82.5, 	83.50 ,75.0,70.25,83.08,90.0,72.5,63.33,65.0,62.5,62.5,60.0,80.0,75.0,55.0,60.0,80.0,70.33,70.0,83.33,80.0,97.5,95.0,100.0,98.0,99.0,100.0,102.0,100.0,100.0,105.0,114.0,65.88583333333334,81.76700000000001,68.81916666666666,91.26333333333332,106.33333333333333,4.2623784556143365,35.279780564263326,38.03840125391849
Adamawa,60.0,60.13,70.0,70.15,70.29,70.44,70.59,70.74,70.89,70.0,70.0,70.15,70.55,70.45,71.54,72.0,70.0,71.22,70.0,70.87,71.0,70.0,70.72,80.0,90.0,80.0,62.5,70.0,65.54,65.0,65.0,70.0,68.0,50.0,50.0,50.0,50.03,50.0,50.0,55.0,50.0,52.0,55.0,60.0,58.0,59.0,60.0,62.0,63.0,63.0,50.0,68.615,71.648,65.50333333333333,55.08583333333333,58.666666666666664,-4.750394381965291,-11.65340909090909,-16.95738636363636
AkwaIbom,145.0,150.0,153.33,195.83,155.0,161.67,160.33,153.33,160.0,187.17,162.5,164.17,158.75,137.14,164.29,174.29,152.86,165.55,171.0,152.0, 	158.89 ,153.64,160.95,152.22,158.33,159.0,107.0,120.0,121.76,122.0,120.0,129.64,125.0,101.82,120.0,107.73,93.33,97.22,95.8,93.0,90.91,91.0,95.0,100.0,100.0,98.0,99.0,100.0,100.0,104.0,96.18,162.36083333333335,159.06900000000002,124.35666666666667,96.105,100.06,-30.56061865065538,-24.282097408221734,-62.26347524818443
Anambra,69.58,67.08,70.0,102.33,78.06,79.17,77.92,99.17,80.0,100.12,100.12,130.12,110.0,103.64,108.18,108.64,101.11,100.55,100.0,98.57, 	101.00 ,90.71,88.66,102.74,118.67,100.0,135.33,140.0,137.67,135.0,140.0,150.82,145.55,177.27,165.0,96.15,95.83,94.44,96.0,95.0,96.25,96.0,95.0,95.0,97.0,98.0,100.0,105.0,100.0,103.0,102.86,87.80583333333334,101.42299999999999,136.78833333333333,96.96,101.95333333333333,35.80897493694637,-34.16759301641273,13.87644674033871
Bauchi,75.0,66.67,52.0,80.0,78.75,86.67,75.0,61.07,50.0,56.32,75.0,75.0,64.0,66.67,60.0,60.0,55.0,58.5,66.67,68.18,68.57,66.67,58.14,60.0,65.0,55.56,72.22,75.0,68.94,69.0,70.0,85.27,80.0,65.0,70.0,61.11,80.0,87.14,85.5,86.0,86.67,85.5,87.0,89.0,90.0,95.0,94.0,95.0,98.0,100.0,96.5,69.29,61.565,69.75833333333334,88.40083333333332,98.16666666666667,0.6713654282642461,28.938879456706278,29.415959252971135
Bayelsa,125.0,120.0,137.5,127.5,120.0,120.0,120.0,120.0,120.25,120.0,124.17,183.33,150.0,150.0,185.71,186.0,174.55,170.0,178.57,161.43, 	162.50 ,160.4,156.25,190.0,193.75,196.25,157.14,150.0,153.57,150.0,150.0,155.0,155.0,200.0,200.0,180.0,175.25,167.14,160.0,160.0,171.43,170.0,175.0,173.0,176.0,179.0,180.0,185.0,190.0,200.0,195.0,128.14583333333334,170.148,170.05916666666667,172.65166666666667,195.0,24.646324073484223,12.790170940170938,34.28418803418803
Benue,70.0,78.33,103.75,70.0,78.13,78.89,72.08,95.0,85.42,117.55,119.55,120.55,116.36,110.0,82.22,95.0,83.0,85.0,90.0,96.67, 	96.67 ,85.5,106.67,118.57,120.75,101.43,76.11,77.5,80.81,85.0,80.0,93.08,95.0,70.0,80.0,99.17,96.88,111.67,102.5,105.0,98.0,95.0,96.0,98.0,99.0,99.0,100.0,100.0,104.0,105.0,116.67,90.77083333333331,97.232,88.23750000000001,100.08749999999999,108.55666666666667,-2.871039335127698,18.71756686216108,16.38391623422485
Borno,50.0,50.11,50.21,87.5,50.0,75.0,50.0,50.0,50.0,59.96,75.0,100.0,80.0,75.0,70.56,70.0,66.67,68.33,70.0,66.97, 	68.00 ,60.0,58.0,70.8,80.0,75.0,70.0,80.0,75.0,75.0,70.0,80.0,85.0,50.0,60.0,80.0,74.03,80.0,83.33,85.0,105.0,106.0,103.0,100.0,102.0,103.0,102.0,105.0,108.0,110.0,115.0,62.315,68.93599999999999,73.33333333333333,95.69666666666667,111.0,15.024999999999997,33.93393393393394,43.86036036036036
CrossRiver,166.67,133.75,135.83,138.89,124.72,121.67,115.83,140.0,117.5,112.17,120.83,143.96,116.0,105.88,141.67,156.67,142.14,147.78,150.0,146.67, 	157.14 ,144.21,138.57,147.86,150.5,165.79,125.0,130.0,135.5,135.7,140.0,146.67,150.0,113.16,110.0,108.82,123.68,108.33,116.67,120.0,115.0,118.0,120.0,120.0,130.0,135.0,133.0,139.0,140.0,142.0,141.05,130.98499999999999,139.07799999999997,134.26166666666666,123.22333333333334,141.01666666666668,2.440507963305489,4.790213922704189,7.113816333766714
